population,sample_id,153Eu_STAT1,175Lu_pS6,144Nd_pPLCg2,158Gd_pStat3,171Yb_pERK,156Gd_p-p38,165Ho_pCREB,152Sm_Akt,167Er_total_pMET,143Nd_bio_pMET,164Dy_Ikba,150Nd_STAT5,147Sm_CD20,151Eu_CD123__IL-3R,154Sm_CD45,148Nd_CD34,141Pr_CD7,142Nd_CD19,145Nd_CD4,149Sm_CD25,155Gd_CD27,159Tb_CD11c,160Gd_CD14,166Er_CD16,168Er_CD8a,169Tm_CD45RA,170Er_CD3,172Yb_CD38,174Yb_HLA-DR,146Nd_IgD,157Gd_CD24,163Dy_CD33,176Yb_CD127__IL-7R
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample1_01_0_HIMC1_UN.fcs - c09_sample1_01_0_HIMC1_UN.fcs,4.44,104.17,7.85,3.5,3.55,11.32,315.45,18.84,16.62,33.51,18.74,6.44,462.63,4.33,916.78,73.34,11.76,176.63,3.88,4,42.96,78.11,11.29,5.48,5.33,321.67,43.08,146.37,546.88,101.46,15.15,14.16,37.07
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample1_01_0_HIMC1_PERV.fcs - c18_sample1_01_0_HIMC1_PERV.fcs,5.63,103.1,122.63,11.93,8.77,66,292.92,18.44,24.18,51.48,23.88,21.23,430.19,4.02,925.43,75.93,9.04,161.27,5.49,3.48,35.72,89.95,18.63,3.49,3.45,317.55,45.8,153.56,476.81,75.53,15.53,18.6,13.38
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample2_01_0_HIMC2_UN.fcs - c09_sample2_01_0_HIMC2_UN.fcs,10.37,73.22,7.79,2.71,2.3,21.68,339.18,24.01,21.86,37.43,33.33,5,284.99,4.27,1054.69,33.54,13.7,118.4,7.38,2.99,36.69,191.25,64.36,1.6,4.32,308.12,65.63,128.59,648.44,71.2,9.27,52.46,10.2
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c18_sample2_01_0_HIMC2_PERV.fcs - c18_sample2_01_0_HIMC2_PERV.fcs,9.76,71.59,152.55,12.49,8.22,95.15,298.09,23.89,25.32,57.86,36.59,27.03,263.89,3.86,964.23,43.09,13.35,114.41,10.73,3.6,37.17,155.53,45.91,1.71,3.11,285.43,94.81,127.7,514.91,72.48,10.32,38.07,6.23
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample3_01_0_HIMC3_UN.fcs - c06_sample3_01_0_HIMC3_UN.fcs,3.59,41.58,4.67,1.69,1.59,9.66,186.5,8.54,7.32,38.24,11.48,2.48,299.05,3.83,619.19,72.21,3.17,117.1,2.56,2.41,18.02,49.97,14.02,1.18,2.91,112.27,23.42,118.25,357.9,68.79,6,9.65,5.61
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample3_01_0_HIMC3_PERV.fcs - c12_sample3_01_0_HIMC3_PERV.fcs,4.87,48.96,56.87,2.99,2.54,61.27,211.73,11.07,12.66,45.81,13.54,11.52,350.88,3.84,697.98,63.21,4.53,130.48,4.06,2.97,28.52,49.43,16.63,1.3,0.92,154.09,39.29,152.18,378.72,73.97,6.8,9.4,3.24
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample1_01_0_E01_D0_UN.fcs - c01_sample1_01_0_E01_D0_UN.fcs,7.54,9.79,6.67,16.01,2.82,23.15,366.28,13.23,16.62,36.1,45.09,6.35,12.92,32.11,489.94,260.06,12.21,8.99,4.06,35.88,4.76,197,25.04,6.3,0.88,78.97,14.08,490.53,292.45,4.95,1.32,105.2,1.53
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample1_01_0_E01_D0_PERV.fcs - c10_sample1_01_0_E01_D0_PERV.fcs,15.74,13.33,75.03,29.8,16.02,146.56,493.38,21.68,14.7,43.94,41.95,24.89,21.47,35.16,405.93,249.63,12.94,11.06,3.57,35.65,4.94,146.67,18.09,3.79,0.53,69.33,7.82,484.75,253.99,4.78,2.57,84.93,1.16
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample1_01_0_E01_D1_UN.fcs - c02_sample1_01_0_E01_D1_UN.fcs,4.67,10.52,4.67,17.2,2.25,24.48,388.84,11.14,12.82,30.61,32.8,4.34,15.2,28.31,365.42,247.98,12.03,10.04,2.36,38.77,3.7,130.7,15.83,1.47,1.3,50.79,18.35,551.22,243.19,4.91,1.16,74.77,1.34
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample1_01_0_E01_D1_PERV.fcs - c11_sample1_01_0_E01_D1_PERV.fcs,8.57,11.77,80.56,37.49,13.9,141.1,505.71,20.02,12.28,43.04,33.6,23.2,14.91,27.59,325.49,253.33,11.92,9.46,2.85,38.35,3.19,108.19,10.61,1.29,0.38,54.72,2.7,519.65,219.15,4.57,2.64,74.27,1.04
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample1_01_0_E01_D2_UN.fcs - c03_sample1_01_0_E01_D2_UN.fcs,1.96,7,3.51,10.56,2.11,16.16,305.61,7.24,9.03,24.18,31.38,3.38,21.1,22.53,252.46,268.33,10.7,13.89,1.6,51.78,4.66,59.76,3.18,1.1,1.16,35.02,19.42,559.72,231.61,4.21,0.85,62.55,1
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample1_01_0_E01_D2_PERV.fcs - c12_sample1_01_0_E01_D2_PERV.fcs,6.97,6.61,50.7,17.98,11.59,140.79,470.36,16.07,9.14,30.59,35.25,15.13,11.66,17.91,246.52,266.83,10.65,9.07,1.88,49.22,3.57,43.99,3.28,1,1.01,27.48,16.07,559.45,203.4,2.44,1.77,59.61,0.96
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample2_01_0_E03_D0_UN.fcs - c03_sample2_01_0_E03_D0_UN.fcs,4.81,6.13,2.63,2.04,1.24,11.76,292.47,7.77,46.82,35.03,84.27,2.99,0.27,17.05,61.07,230.78,0.86,0.63,0.59,0.75,0.66,14.72,1.1,0.97,0.92,4.4,3.69,394.14,34.18,2.1,0.39,2.74,0.79
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c12_sample2_01_0_E03_D0_PERV.fcs - c12_sample2_01_0_E03_D0_PERV.fcs,5.12,6,4.86,2.74,5.22,58.56,473.44,23.65,44.95,39.33,89.08,4.69,0.31,17.78,61.12,223.21,0.94,0.69,0.63,0.77,0.71,14.63,1.33,1.19,0.87,4.07,2.74,389.03,30.51,2.48,0.91,2.78,0.8
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample2_01_0_E03_D1_UN.fcs - c04_sample2_01_0_E03_D1_UN.fcs,4.3,5.89,2.88,1.7,1.14,14.04,317.62,6.88,44.88,32.25,80.59,3,0.28,15.93,66.12,244.76,0.89,0.68,0.67,0.78,0.89,18.62,1.03,0.97,0.9,4.88,4.61,341.31,32.72,1.98,0.4,3.24,0.78
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample2_01_0_E03_D1_PERV.fcs - c13_sample2_01_0_E03_D1_PERV.fcs,5.01,5.91,4.75,2.04,2.41,61.21,448.64,15.87,44.84,40.87,85.14,4.04,0.28,17.26,68.51,239.28,0.92,0.7,0.67,0.83,0.94,20.3,1.15,1.07,0.86,5.17,3.6,346.72,31.61,2.05,0.9,3.56,0.72
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample2_01_0_E03_D2_UN.fcs - c05_sample2_01_0_E03_D2_UN.fcs,3.58,2.98,3.02,1.85,1.23,12.07,267.28,7.49,37.63,32.06,110.08,3.15,0.32,11.81,92.12,272.98,1.03,0.74,0.73,1.98,0.88,27.3,1.03,0.86,0.81,6,4.56,461.65,45.85,2.11,0.37,5.99,0.72
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample2_01_0_E03_D2_PERV.fcs - c14_sample2_01_0_E03_D2_PERV.fcs,4.4,3.58,5.57,2.39,3.21,50.81,418.18,22.18,37.62,39.5,113.9,4.37,0.34,12.31,91.63,267.93,1.12,0.78,0.75,2.02,0.96,28.59,1.24,1.05,0.78,6.1,3.9,467.61,43.94,2.4,0.8,6.35,0.75
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample1_01_0_E04_D0_UN.fcs - c04_sample1_01_0_E04_D0_UN.fcs,90.24,17.97,15.26,11.39,6.73,22.87,498.95,30.73,71.36,89.14,209.95,12.93,1.89,2.26,1566.13,40.75,3.86,1.02,12.31,1.11,2.02,892.45,159.12,53.46,1.73,4.81,13.09,151.93,276.8,4.27,7.78,281.92,2.06
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c13_sample1_01_0_E04_D0_PERV.fcs - c13_sample1_01_0_E04_D0_PERV.fcs,85.01,24.41,107.99,21.67,25.75,189.44,429.83,29.69,83.35,105.25,236.88,31.18,1.72,2.12,1544.34,35.88,4.41,1.22,13.15,1.06,2.5,862.5,151.87,50.87,1.64,4.09,13.03,135.13,233.04,4.27,9.75,258.22,1.94
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample1_01_0_E04_D1_UN.fcs - c05_sample1_01_0_E04_D1_UN.fcs,91.1,23.23,11.57,11.24,15.01,49.05,491.18,29.96,48.55,87.71,59.07,12.57,7.68,3.97,1634.97,42.59,5.51,3.34,22.06,1.09,4.44,701.3,225.67,30.38,2.86,15.23,36.28,177.85,559.3,3.8,12.2,235.42,2.48
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c14_sample1_01_0_E04_D1_PERV.fcs - c14_sample1_01_0_E04_D1_PERV.fcs,104.49,28.38,181.91,27.96,29.94,143.01,355.11,27.4,83.56,119.72,96.96,47.58,5.12,4.09,1563.3,38.6,5.68,2.7,23.26,0.96,3.55,686.85,204.99,31.01,2.46,8.11,29.58,152.25,502.68,3.99,8.55,217.28,2.32
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample1_01_0_E04_D2_UN.fcs - c06_sample1_01_0_E04_D2_UN.fcs,79.54,30.2,9.71,8.2,32.84,87.62,533.25,29.41,51.7,87.97,33.29,9.39,24.98,13.75,1563.66,42.31,6.74,6.26,16.68,1.18,8.55,544.11,240.81,24.42,2.82,41.52,57.15,259.63,732.76,3.83,9.99,158.63,2.89
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample1_01_0_E04_D2_PERV.fcs - c15_sample1_01_0_E04_D2_PERV.fcs,105.74,30.14,222.84,23.76,35.69,119.12,323.58,28.4,83.27,123.49,57.7,49.8,9.89,14.55,1785.63,36.75,8.66,3.65,20.54,1.21,10.53,616.12,245.89,35.76,5.32,17.8,70.93,243.79,727.42,3.56,9.5,159.48,2.85
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c06_sample2_01_0_E05_D0_UN.fcs - c06_sample2_01_0_E05_D0_UN.fcs,9.17,122.03,9.34,4.14,4.61,27.83,424.13,23.31,22.81,46.02,32.99,6.52,270.17,15.64,827.33,114.78,18.12,173.92,12.77,7.26,43.06,197.03,12.17,3.23,10.64,179.13,179.83,372.38,573.14,28.92,1.97,32.65,6.01
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c15_sample2_01_0_E05_D0_PERV.fcs - c15_sample2_01_0_E05_D0_PERV.fcs,28.88,128.5,321.04,13.92,18.04,102.39,374.04,25.02,26.2,78.5,35.45,36.27,252.04,11.21,791.37,117.2,12.24,176.46,18.29,5.58,41.16,194.1,13.44,1.81,8.27,160.56,205.26,331.14,523.81,22.67,1.6,28.57,4.33
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample2_01_0_E05_D1_UN.fcs - c07_sample2_01_0_E05_D1_UN.fcs,16.86,60.48,9.45,7.96,3.34,31.22,460.18,24.14,26.28,58.22,51.76,9.56,116.06,17.8,953.71,139.09,13.67,90.35,15.7,7.2,39.16,281.7,76.93,8.3,16.08,80.71,159.34,421.51,613.57,18.28,5.78,102.9,17.19
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample2_01_0_E05_D1_PERV.fcs - c16_sample2_01_0_E05_D1_PERV.fcs,44.4,69.02,185.55,11.26,15.17,132.43,417.61,29.28,27.58,68.43,56.91,29.97,145.38,15.8,942.68,123.02,14.93,108.03,19.75,6.5,42.52,245.1,61.14,7.7,12.72,107.69,173.75,387.06,482.86,18.71,6.95,84.09,16.29
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample2_01_0_E05_D3_UN.fcs - c08_sample2_01_0_E05_D3_UN.fcs,23.13,23.23,10.72,5.75,3.26,53.88,461.73,27.41,24.17,69.07,49.17,11.01,23.16,9.22,1156,60.44,10.74,17.84,14.73,4.35,29.02,375.7,155.97,3.54,12.93,41.6,86.76,446.5,383.05,7.77,2.93,210.56,4.83
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample2_01_0_E05_D3_PERV.fcs - c17_sample2_01_0_E05_D3_PERV.fcs,33.43,31.44,189.18,14.16,11.42,185.78,437.76,26.56,22.83,79.92,55.75,40.28,32.7,9.84,1092.62,70.85,12.34,25.49,16.64,4.3,27.82,330.81,138.72,3.23,10.11,48.31,99.76,395.66,260.94,7.43,4.17,179.53,3.56
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample1_01_0_E07_D0_UN.fcs - c07_sample1_01_0_E07_D0_UN.fcs,3.28,12.09,5.76,2.45,1.25,28.73,369.44,7.21,24.27,36.75,31.51,4.19,4.08,12.29,302.06,434.41,18.89,1.54,2.65,2.06,1.88,42.59,10.46,1.19,1.4,11.17,11.34,170.12,227.9,2.34,1.63,26.96,1.79
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c16_sample1_01_0_D07_D0_PERV.fcs - c16_sample1_01_0_D07_D0_PERV.fcs,4.47,18.23,25.03,4.27,3.64,177.27,455.63,9.3,24.93,41.27,39.72,8.75,5.06,12.56,303.08,443.82,21.92,1.94,2.87,1.98,2.74,34.82,7.7,1.18,1.61,12.18,14.17,164.79,223.49,2.31,2.7,25.68,1.28
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample1_01_0_E07_D1_UN.fcs - c08_sample1_01_0_E07_D1_UN.fcs,2.22,7.36,5.55,1.95,1.33,40.04,355.75,5.89,15.57,21.21,19.12,3.75,3.53,9.41,263.99,504.12,20.47,3.24,2.41,1.97,1.9,30.58,6.77,4.26,2.85,11.7,11.63,158.27,219.14,4.8,6.95,26.14,46.41
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c17_sample1_01_0_D07_D1_PERV.fcs - c17_sample1_01_0_D07_D1_PERV.fcs,4.82,11.76,28.27,4.36,4.53,179.55,471.6,7.93,21.08,37.68,27.09,9.49,2.6,11.15,299.55,475.3,20.26,2.15,2.9,1.8,2.82,33.67,5.73,2.08,1.7,12.3,17.39,151.53,237.51,2.92,6.99,24.54,21.77
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample3_01_0_E09_D0_UN.fcs - c01_sample3_01_0_E09_D0_UN.fcs,1.84,46.89,10.35,2.11,1.87,10.97,177.38,6.73,3.23,31.36,3.07,5.38,419.11,3.34,788.66,74.94,10.03,87.64,3.88,4.78,4.15,33.28,7.51,1.85,7.22,191.16,17.62,243.58,324.5,123.64,43.06,12.4,164.71
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c07_sample3_01_0_E09_D0_PERV.fcs - c07_sample3_01_0_E09_D0_PERV.fcs,4.82,22.59,230.37,14.95,9.44,63.65,217.71,5.21,4.35,54.27,6.6,50.89,180.58,1.98,449.14,80.74,8.92,32.76,4.99,2.55,3.05,15.52,5.58,1.57,4.97,91.37,32.55,121.14,184.16,34.94,27.19,5.4,109.62
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample3_01_0_E09_D1_UN.fcs - c02_sample3_01_0_E09_D1_UN.fcs,3.6,13.96,12.07,2.6,6.31,5.83,45.31,6.13,4.53,29.22,2.26,4.4,156.05,5.65,519.05,62.53,6,34.67,4.19,2.69,1.92,37.41,8.8,3.33,4.28,76.88,22.03,104.25,195.48,38.89,36,7.86,151.43
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c08_sample3_01_0_E09_D1_PERV.fcs - c08_sample3_01_0_E09_D1_PERV.fcs,5.22,20.69,61.39,10.17,26.12,18.85,79.98,10.8,7.63,51.4,2.46,26.33,126.63,6.09,545.57,59.85,14.06,35.53,3.47,1.41,2.65,61.02,19.42,11.98,10.55,58.35,12.79,114.93,161.83,49.24,81,14.67,304.73
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c03_sample3_01_0_E09_D2_UN.fcs - c03_sample3_01_0_E09_D2_UN.fcs,4.75,4.48,22.03,6.71,3.56,18.03,63.79,5.81,16.06,16.82,19.77,2.79,0.36,4.22,338.25,57.81,20.72,8.78,4.95,1.41,10.49,75.09,3.22,2.59,4.07,43.59,87.7,153.74,42.41,1.99,1.62,3.6,2.47
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c09_sample3_01_0_E09_D2_PERV.fcs - c09_sample3_01_0_E09_D2_PERV.fcs,1.42,1.38,25.11,2.22,1.67,2.83,20.05,2.71,4.1,19.72,4.25,3.05,0.45,3.3,245,76.17,19.37,4.25,6.26,2.41,5.61,76.67,1.43,1.61,1.91,51.22,47.68,54.24,47.12,1.38,1.59,2.53,8.99
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c01_sample2_01_0_E12_D0_UN.fcs - c01_sample2_01_0_E12_D0_UN.fcs,1.81,81.43,6.85,1.74,2.81,39.39,549.48,11.33,19.19,31.99,50.12,3.43,5.55,18,494.93,390.01,22.07,2.72,12.8,5.12,35.77,15.03,1.01,1.66,13.64,44.68,204.78,58.43,144.14,2.87,0.65,22.4,2.95
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample2_01_0_E12_D0_PERV.fcs - c10_sample2_01_0_E12_D0_PERV.fcs,6.75,104.74,287.04,3.27,23.24,138.2,578.45,22.66,18.05,62.99,44.68,33.47,3.65,18.08,527.36,398.88,29.26,2.87,18.94,4.75,41.87,12.58,3.31,1.6,20.87,43.45,217.95,50.55,138.25,3.74,1.32,19.96,3.26
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c02_sample2_01_0_E12_D1_UN.fcs - c02_sample2_01_0_E12_D1_UN.fcs,1.69,83.7,5.87,1.53,3.78,50.81,554.91,10.55,16.82,26.79,30.98,2.58,1.7,16.06,457.63,422.73,19.22,1.48,11.9,3.46,26.21,10.43,0.85,0.94,12.35,36.41,175.95,54.56,137.1,2.2,1,19.72,2.91
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample2_01_0_E12_D1_PERV.fcs - c11_sample2_01_0_E12_D1_PERV.fcs,5.12,98.83,209.16,3.35,26.51,141.35,567.28,17.92,14.11,45.79,28.47,23.17,3.26,13.75,451,407.6,19.62,1.97,12.98,2.58,27.9,8.67,2.9,1.02,18.04,31.21,157.38,42.3,123.2,2.3,1.13,15.46,4.21
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c04_sample3_01_0_E13_D0_UN.fcs - c04_sample3_01_0_E13_D0_UN.fcs,0.92,7.7,2.23,1.32,1.41,23.24,281.08,2.87,6.11,14.82,8.78,1.06,33.05,39.66,283.08,151.31,0.64,8.15,1.07,17.12,2.23,52.36,2.61,0.24,0.37,40.89,4.92,142.58,198.71,0.61,1.91,0.78,0.5
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c10_sample3_01_0_E13_D0_PERV.fcs - c10_sample3_01_0_E13_D0_PERV.fcs,2.19,5.96,64.67,1.32,3.05,60.37,234.26,4.15,4.65,20.38,7.02,7.75,11.89,30.73,267.62,129.38,2.01,2.88,2.86,19.82,3.67,32.91,1.93,0.2,2.5,31.9,24.89,82.4,147.38,0.74,0.72,0.38,1.79
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c05_sample3_01_0_E13_D1_UN.fcs - c05_sample3_01_0_E13_D1_UN.fcs,2.12,10.9,3.97,1.69,1.51,9.85,250.2,4.55,7.45,18.25,25.78,2.87,52.04,37.6,319.24,136.82,2.22,11.18,2.81,16.87,8.33,132.24,2.48,0.4,0.54,43.08,40.05,115.4,229.89,1.5,1.07,0.85,4.59
CD34+ - Calculated Raw values of Means using X-Axis channel(s): Panel/Channel Values,c11_sample3_01_0_E13_D1_PERV-(1).fcs - c11_sample3_01_0_E13_D1_PERV.fcs,1.99,6.81,48.44,1.05,3.38,80.33,254.96,4.34,5.01,18.86,17.93,4.27,27.43,29.73,291.15,139.54,1.88,9.51,2.68,18.22,1.89,86.33,4.17,0.33,0.4,27.48,12.76,79.86,169.26,1.66,1.51,1.7,1.04
